from_stop_id,to_stop_id,transfer_type,min_transfer_time
2302,1651,2,209
1820,2358,2,62
4015760,1884,2,297
4472543,1637,2,252
3740323,1637,2,251
2359,1819,2,51
4472537,1917,2,189
4354172,1651,2,199
2449,3689033,2,261
4009220,2088,2,319
4008203,2227,2,278
3926257,2423,2,237
4036291,2527,2,269
4726932,2527,2,212
3716944,1890,2,241
4473118,1890,2,270
5121343,2280,2,302
3672236,1651,2,225
1766,2527,2,101
4022895,1946,2,267
3687070,2513,2,211
4008863,1917,2,266
3748066,1651,2,188
3765228,2162,2,263
4726959,2190,2,198
3765230,1895,2,203
4008277,1762,2,213
3926278,1745,2,220
3740528,2291,2,245
3740551,2242,2,252
3749775,2457,2,198
4008300,1917,2,245
3811247,2162,2,276
5231633,1993,2,293
3893337,2286,2,198
5121562,2425,2,198
4036660,1890,2,270
4146113,2423,2,219
2102,2286,2,250
1687,1637,2,110
4008836,1890,2,210
4024982,1804,2,306
3740551,1917,2,252
3749775,1712,2,198
3812997,1895,2,187
5289133,2280,2,302
4726960,1712,2,198
3749774,2001,2,198
4045020,1819,2,244
1843,1844,2,98
4008317,1762,2,213
3749913,1715,2,206
4459265,1633,2,246
2531,1832,2,153
3926257,1745,2,237
1766,1647,2,113
3748017,1651,2,225
4025419,2201,2,267
3765233,2517,2,222
4008891,1804,2,203
4008863,2242,2,266
3747985,2311,2,235
2468,2460,2,480
5018390,1678,2,270
3811242,2201,2,200
5231590,1993,2,268
3811230,2227,2,195
4036660,2286,2,270
3748066,2531,2,188
4023041,1819,2,212
3926283,2133,2,229
3687593,1873,2,178
4036635,2513,2,211
4008856,1637,2,252
4037244,1651,2,199
3748024,2459,2,197
4726962,2447,2,282
3747982,1647,2,198
1889,2286,2,67
4008945,2343,2,205
1651,1832,2,136
4016495,1712,2,253
4037211,2201,2,274
4008884,1899,2,234
2359,2358,2,56
4459265,2513,2,246
3687590,1993,2,268
3813163,2425,2,187
4024981,1804,2,224
4022957,2441,2,241
3740539,2242,2,189
3690071,2133,2,247
4146116,1651,2,217
4036826,2447,2,282
3687590,2183,2,268
4354462,2531,2,217
967988,2527,2,180
1723,2460,2,480
4022893,1946,2,240
3764796,1890,2,198
4009185,2280,2,216
4037284,1715,2,198
4008246,1814,2,263
4008236,2453,2,260
5018222,1890,2,198
4036617,2269,2,156
3749939,2441,2,301
4024980,1804,2,241
4008944,1804,2,205
3749938,2358,2,225
5079489,1804,2,227
3764732,1946,2,209
3681850,2280,2,225
5289167,2527,2,212
4459280,2183,2,293
4037772,2201,2,274
4037171,2531,2,217
4022957,1730,2,241
4023042,2441,2,241
5121339,1804,2,222
4016495,2457,2,253
3764580,1712,2,267
3812998,1895,2,244
4472538,2242,2,266
3740520,1819,2,225
4492570,1873,2,192
3747930,1633,2,232
3740516,2286,2,270
3673595,1633,2,246
4364002,2269,2,192
4473340,2343,2,230
5231635,2269,2,134
1677,2488,2,63
3765150,1890,2,210
5018334,2488,2,246
3811246,2162,2,216
3764768,2358,2,225
4008455,1747,2,187
3926288,1651,2,210
3926279,2423,2,211
4008945,1804,2,205
4016475,1702,2,199
3688115,2269,2,134
3893540,1747,2,187
3764771,2201,2,209
3740528,1895,2,245
3749909,1946,2,200
4036932,2488,2,270
3747981,2527,2,221
3749939,1730,2,301
4473339,1804,2,205
4023038,2201,2,234
4023041,2358,2,212
2053,2286,2,250
3749913,2460,2,206
3747992,2531,2,268
3748024,1714,2,197
3926286,1651,2,253
4016531,1702,2,199
3813163,1747,2,187
4354420,1882,2,203
4016319,1702,2,199
4726956,2527,2,185
4036620,2183,2,313
3926287,2531,2,225
4199377,1873,2,156
4044990,1647,2,198
4022953,2201,2,234
4472691,1890,2,270
4473413,2343,2,205
5231618,2513,2,246
4996989,2527,2,198
4024391,1804,2,224
4472557,2460,2,206
1166841,2460,2,480
5289167,1647,2,212
4726961,2447,2,196
5018222,2286,2,198
3748028,1647,2,225
3672262,1651,2,256
4726955,2527,2,197
1166840,1715,2,480
4036303,1647,2,212
4008428,2043,2,245
4008839,1715,2,206
3926286,2531,2,253
3813165,2425,2,232
4008307,2353,2,263
3813000,1895,2,239
